t,x,u,z1_hat,z2_hat,z3_hat
1.91500,10.56834,-4.18332,10.56804,0.10983,-2.00117
1.92000,10.56867,-3.98302,10.56848,0.06028,-1.99933
1.92500,10.56877,-3.78927,10.56868,0.01277,-1.99682
1.93000,10.56866,-3.60213,10.56866,-0.03272,-1.99344
1.93500,10.56834,-3.42166,10.56842,-0.07623,-1.98903
1.94000,10.56783,-3.24788,10.56797,-0.11781,-1.98341
1.94500,10.56713,-3.08084,10.56733,-0.15748,-1.97645
1.95000,10.56626,-2.92053,10.56651,-0.19529,-1.96800
1.95500,10.56522,-2.76694,10.56552,-0.23129,-1.95797
1.96000,10.56402,-2.62002,10.56436,-0.26552,-1.94628
1.96500,10.56268,-2.47970,10.56305,-0.29802,-1.93286
1.97000,10.56119,-2.34590,10.56159,-0.32885,-1.91769
1.97500,10.55957,-2.21849,10.56000,-0.35807,-1.90075
1.98000,10.55783,-2.09734,10.55828,-0.38572,-1.88204
1.98500,10.55597,-1.98229,10.55643,-0.41187,-1.86159
1.99000,10.55399,-1.87318,10.55447,-0.43656,-1.83943
1.99500,10.55191,-1.76981,10.55240,-0.45986,-1.81562
2.00000,10.54973,-1.67198,10.55023,-0.48182,-1.79023
2.00500,10.54745,-1.57948,10.54797,-0.50250,-1.76333
2.01000,10.54508,-1.49208,10.54561,-0.52196,-1.73501
2.01500,10.54263,-1.40957,10.54318,-0.54025,-1.70536
2.02000,10.54010,-1.33171,10.54066,-0.55743,-1.67450
2.02500,10.53749,-1.25828,10.53806,-0.57355,-1.64252
2.03000,10.53482,-1.18903,10.53540,-0.58867,-1.60953
2.03500,10.53207,-1.12373,10.53267,-0.60283,-1.57565
2.04000,10.52926,-1.06217,10.52987,-0.61609,-1.54098
2.04500,10.52639,-1.00411,10.52702,-0.62850,-1.50565
2.05000,10.52347,-0.94933,10.52411,-0.64009,-1.46974
2.05500,10.52049,-0.89763,10.52115,-0.65092,-1.43339
2.06000,10.51746,-0.84878,10.51813,-0.66103,-1.39669
2.06500,10.51438,-0.80261,10.51507,-0.67045,-1.35973
2.07000,10.51125,-0.75891,10.51197,-0.67924,-1.32263
2.07500,10.50808,-0.71750,10.50882,-0.68741,-1.28547
2.08000,10.50488,-0.67822,10.50564,-0.69501,-1.24835
2.08500,10.50163,-0.64090,10.50242,-0.70207,-1.21133
2.09000,10.49834,-0.60538,10.49916,-0.70862,-1.17451
2.09500,10.49503,-0.57152,10.49586,-0.71469,-1.13795
2.10000,10.49168,-0.53919,10.49254,-0.72030,-1.10173
2.10500,10.48830,-0.50826,10.48919,-0.72548,-1.06589
2.11000,10.48489,-0.47861,10.48580,-0.73026,-1.03051
2.11500,10.48145,-0.45015,10.48239,-0.73465,-0.99562
2.12000,10.47799,-0.42276,10.47896,-0.73867,-0.96127
2.12500,10.47451,-0.39636,10.47550,-0.74235,-0.92750
2.13000,10.47100,-0.37087,10.47202,-0.74570,-0.89435
2.13500,10.46747,-0.34620,10.46852,-0.74873,-0.86185
2.14000,10.46392,-0.32231,10.46500,-0.75147,-0.83001
2.14500,10.46036,-0.29911,10.46146,-0.75392,-0.79887
2.15000,10.45677,-0.27657,10.45791,-0.75610,-0.76844
2.15500,10.45318,-0.25462,10.45433,-0.75802,-0.73873
2.16000,10.44957,-0.23324,10.45075,-0.75968,-0.70975
2.16500,10.44594,-0.21238,10.44715,-0.76111,-0.68151
2.17000,10.44231,-0.19200,10.44354,-0.76230,-0.65400
2.17500,10.43866,-0.17209,10.43992,-0.76327,-0.62724
2.18000,10.43500,-0.15261,10.43628,-0.76403,-0.60121
2.18500,10.43134,-0.13356,10.43264,-0.76457,-0.57592
2.19000,10.42767,-0.11490,10.42899,-0.76491,-0.55135
2.19500,10.42400,-0.09662,10.42534,-0.76506,-0.52750
2.20000,10.42031,-0.07872,10.42168,-0.76502,-0.50435
2.20500,10.41663,-0.06119,10.41801,-0.76479,-0.48190
2.21000,10.41294,-0.04401,10.41434,-0.76438,-0.46012
2.21500,10.40926,-0.02718,10.41067,-0.76379,-0.43902
